chrom,start,end
chr2L,10671414,10672015
chr2L,11171865,11172466
chr2L,1118020,1118621
chr2L,11473767,11474368
chr2L,11516973,11517574
chr2L,118499,119100
chr2L,11878712,11879313
chr2L,12133185,12133786
chr2L,122174,122775
chr2L,12341576,12342177
chr2L,12454950,12455551
chr2L,12520120,12520721
chr2L,13332666,13333267
chr2L,13500309,13500910
chr2L,14251695,14252296
chr2L,14287787,14288388
chr2L,14588759,14589360
chr2L,14706128,14706729
chr2L,1492103,1492704
chr2L,14972729,14973330
chr2L,1504183,1504784
chr2L,15060526,15061127
chr2L,15498705,15499306
chr2L,1639272,1639873
chr2L,16507523,16508124
chr2L,16543131,16543732
chr2L,16543721,16544322
chr2L,16846904,16847505
chr2L,16862325,16862926
chr2L,1715606,1716207
chr2L,17715196,17715797
chr2L,17715741,17716342
chr2L,17784543,17785144
chr2L,18109309,18109910
chr2L,18119711,18120312
chr2L,18152196,18152797
chr2L,182494,183095
chr2L,18297845,18298446
chr2L,18454317,18454918
chr2L,18513319,18513920
chr2L,18665820,18666421
chr2L,1884291,1884892
chr2L,19009061,19009662
chr2L,1909598,1910199
chr2L,19165868,19166469
chr2L,19363500,19364101
chr2L,19398733,19399334
chr2L,19415064,19415665
chr2L,19416773,19417374
chr2L,19735718,19736319
chr2L,19817012,19817613
chr2L,19915112,19915713
chr2L,20120785,20121386
chr2L,20290684,20291285
chr2L,20293810,20294411
chr2L,20341116,20341717
chr2L,20835431,20836032
chr2L,20868855,20869456
chr2L,20874422,20875023
chr2L,21077819,21078420
chr2L,21677531,21678132
chr2L,2834469,2835070
chr2L,2855403,2856004
chr2L,3055644,3056245
chr2L,3094133,3094734
chr2L,3094726,3095327
chr2L,3108153,3108754
chr2L,3290871,3291472
chr2L,3472184,3472785
chr2L,3681969,3682570
chr2L,3784426,3785027
chr2L,3786109,3786710
chr2L,3889474,3890075
chr2L,4019625,4020226
chr2L,403482,404083
chr2L,4345599,4346200
chr2L,4660814,4661415
chr2L,489961,490562
chr2L,490497,491098
chr2L,5070655,5071256
chr2L,5270073,5270674
chr2L,5340882,5341483
chr2L,5365595,5366196
chr2L,5623919,5624520
chr2L,5771083,5771684
chr2L,602211,602812
chr2L,6323405,6324006
chr2L,6356567,6357168
chr2L,6526858,6527459
chr2L,6610662,6611263
chr2L,6622485,6623086
chr2L,6797299,6797900
chr2L,7028871,7029472
chr2L,7281335,7281936
chr2L,72927,73528
chr2L,7436693,7437294
chr2L,7495987,7496588
chr2L,7533744,7534345
chr2L,7534787,7535388
chr2L,7641512,7642113
chr2L,7890616,7891217
chr2L,8239865,8240466
chr2L,8334630,8335231
chr2L,8534258,8534859
chr2L,8709337,8709938
chr2L,8740832,8741433
chr2L,8888480,8889081
chr2L,8952664,8953265
chr2L,9120341,9120942
chr2L,9393201,9393802
chr2L,9396231,9396832
chr2L,9520655,9521256
chr2L,9567274,9567875
chr2L,9613068,9613669
chr2L,9657168,9657769
chr2L,9731142,9731743
chr2R,14331852,14332453
chr2R,14426860,14427461
chr2R,14434122,14434723
chr2R,14480511,14481112
chr2R,15010624,15011225
chr2R,15011066,15011667
chr2R,15114289,15114890
chr2R,15115351,15115952
chr2R,15244811,15245412
chr2R,15291491,15292092
chr2R,15485370,15485971
chr2R,15697911,15698512
chr2R,15762126,15762727
chr2R,15821185,15821786
chr2R,16551805,16552406
chr2R,16607303,16607904
chr2R,16608365,16608966
chr2R,16669906,16670507
chr2R,16672764,16673365
chr2R,16689308,16689909
chr2R,16799937,16800538
chr2R,16916492,16917093
chr2R,16919810,16920411
chr2R,17141258,17141859
chr2R,17926970,17927571
chr2R,18513786,18514387
chr2R,18523729,18524330
chr2R,18553513,18554114
chr2R,18765855,18766456
chr2R,18857685,18858286
chr2R,19253768,19254369
chr2R,19357106,19357707
chr2R,19455545,19456146
chr2R,19632738,19633339
chr2R,20603038,20603639
chr2R,20884346,20884947
chr2R,20906405,20907006
chr2R,20937899,20938500
chr2R,21073648,21074249
chr2R,21078234,21078835
chr2R,21199327,21199928
chr2R,21251365,21251966
chr2R,21298431,21299032
chr2R,21352498,21353099
chr2R,21535282,21535883
chr2R,21607945,21608546
chr2R,21972840,21973441
chr2R,22133748,22134349
chr2R,22297656,22298257
chr2R,22405833,22406434
chr2R,22596240,22596841
chr2R,23096879,23097480
chr2R,6015726,6016327
chr2R,23601614,23602215
chr2R,23617670,23618271
chr2R,23652206,23652807
chr2R,6088907,6089508
chr2R,24255053,24255654
chr2R,24312969,24313570
chr2R,6150939,6151540
chr2R,24693863,24694464
chr2R,25011217,25011818
chr2R,25011739,25012340
chr2R,25038311,25038912
chr2R,25076465,25077066
chr2R,25084068,25084669
chr2R,25085293,25085894
chr2R,25182872,25183473
chr2R,25190295,25190896
chr2R,6500035,6500636
chr2R,7137930,7138531
chr2R,7139487,7140088
chr2R,7141863,7142464
chr2R,7186956,7187557
chr2R,7317442,7318043
chr2R,7453825,7454426
chr2R,7617785,7618386
chr2R,7620658,7621259
chr2R,7635051,7635652
chr2R,7726944,7727545
chr2R,7774585,7775186
